run_id,issue,template,impl_model,design_model,impl_segment,wall_s,founder_gate_s,net_s,noisy
571bfa52-2826-45e1-a8d9-7b894d1987df,FLY-2632,tpl_code,codex/gpt-5.6-sol/xhigh,codex/gpt-6-astra/high,O,31633.0,954.561,29924.62,True
d3708e46-50ff-4d09-a705-c99d1b5452da,FLY-2634,tpl_code,codex/gpt-5.6-sol/xhigh,claude/claude-fable-5-1/high,O,37755.0,1935.392,35817.81,True
bd60cabb-aeb2-4be1-9900-68cf1b1f43e5,FLY-2644,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,8929.0,4553.728,4251.698,True
54f5dd24-fe9d-49e7-a3dd-2119858e520c,FLY-2645,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,18816.0,299.656,18516.344,False
9cf7f7ca-37bd-4acd-9155-a0e9a9735e8e,FLY-2661,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,7325.0,343.805,6981.195,False
a03da996-f0dc-4506-beb7-d7254ba32b40,FLY-2663,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,42724.0,11281.869,31440.692,True
d4be0283-628d-464c-9728-e9938e2d579b,FLY-2668,tpl_generic_menu,,,,4866.0,3472.236,1393.7640000000001,False
070bd942-cce0-46ca-88a3-5215886fb107,FLY-2662,tpl_code,codex/gpt-5.6-sol/xhigh,codex/gpt-6-astra/high,O,30491.0,401.458,30016.755,True
9645f6b0-5047-464c-8ecd-be7fcabd988f,FLY-2664,tpl_code,codex/gpt-5.6-sol/xhigh,codex/gpt-6-astra/high,O,13716.0,540.66,13175.34,False
986c9c22-a588-4cf4-a21e-fa3b90a3c2de,FLY-2639,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,28976.0,4598.108,24377.39,True
116cc58c-7324-4fc5-abfa-0a7b035cd557,FLY-2671,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,11181.0,943.176,10237.824,False
8b3933da-4fa2-4a8d-bd9d-ec6392870310,FLY-2680,tpl_generic_menu,,,,5719.0,1241.42,4477.58,False
fa725571-5d90-47ed-9ea2-f6d99ee23f82,FLY-2681,tpl_code,codex/gpt-5.6-sol/xhigh,claude/claude-fable-5-1/high,O,72827.0,906.733,70578.005,True
e078231d-afd4-42e6-990a-bc2b00fcdab8,FLY-2682,tpl_generic_menu,,,,3344.0,2165.897,1178.103,False
137b8ea4-68ae-4384-8e48-d7571dd3e8c7,FLY-2657,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,48256.0,25746.523,22507.192,True
f426b8bc-b7aa-4202-9db9-ded05db69e13,FLY-2692,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,20328.0,902.369,19425.631,False
16a5f2d3-654e-4596-a822-d9829ec7e0e1,FLY-2694,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,48236.0,31237.959,16930.961,True
d4e0de1f-8d3d-45ca-8426-574befa44aa7,FLY-2696,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,49795.0,26440.764,23349.802,True
5b79da42-6cd8-48b9-af9a-c505e2c7c390,FLY-2719,tpl_generic_menu,,,,7703.0,5057.031,2645.969,False
3d553a29-40f4-4a92-974b-f0a9b565d30e,FLY-2673,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,24390.0,19070.388,5319.612000000001,False
c189ac65-2923-4b20-823e-df97bd46e3b0,FLY-2752,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,8516.0,1003.66,7512.34,False
6f76d337-bc9d-4015-a4af-4d78d2e1da96,FLY-2753,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,166335.0,138014.106,28316.532999999996,True
50898ad0-107e-45fa-8a85-0569b332a799,FLY-2749,tpl_code,codex/gpt-5.6-sol/xhigh,codex/gpt-6-astra/high,O,17460.0,7072.463,10387.537,False
