Timestamp                       Thread     Type        Activity             PID    TTL  
2026-07-09 00:30:57.286807-0700 0xf01754f  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:30:57.286813-0700 0xf01754f  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:57:00.273065-0700 0xf10ddd9  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:57:00.287297-0700 0xf10ddd9  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:57:00.287300-0700 0xf10ddd9  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:57:29.836326-0700 0xf10cdcf  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:57:29.846890-0700 0xf10cdcf  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 00:57:29.846895-0700 0xf10cdcf  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:03:13.409339-0700 0xf132b01  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:03:13.423099-0700 0xf132b01  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:03:13.423105-0700 0xf132b01  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:03:21.996434-0700 0xf136ee6  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
