ts,load1,load5,load15,bridge_cpu_inst_top_l2,bridge_cpu_1min_ps_decaying,bridge_rss_kb,free_pct,swapout_delta,established_conns,pressure_hold
1787425228.030599,38.98,23.75,15.70,39.3,81.9,640464,44.2,NA,0,0
1787425240.704767,32.06,22.98,15.57,30.2,30.9,753792,44.3,NA,0,0
1787425252.889087,28.20,22.45,15.47,32.5,19.6,759872,44.5,NA,0,0
1787425265.250276,23.45,21.68,15.31,18.1,22.6,760080,43.8,NA,0,0
1787425277.567650,21.23,21.26,15.24,57.9,28.6,760144,43.6,NA,0,0
1787425289.771854,17.92,20.53,15.08,41.2,74.5,760832,43.6,NA,0,0
1787425301.959228,16.33,20.10,14.99,81.7,90.0,761952,43.5,NA,0,0
1787425314.103773,15.40,19.70,14.94,74.0,99.1,762176,43.5,NA,0,0
