# FLY-1986 probe: three real read-only runs on the production Bridge, 2026-08-22
# Each row is one measurement block. Load stayed in a narrow band across all three.

run,block_seconds,load1_approx,n,met,missed,b_conservative,bridge_cpu_top_inst,bridge_cpu_ps_1min
1,90,~15.3,45,16,29,0.6444,79.6,81.2
2,90,~15.4,45,32,13,0.2889,74.0,99.1
3,60,~9.9,30,0,30,1.0000,72.0,99.4
