ts,load1,load5,load15,bridge_cpu_inst_top_l2,bridge_cpu_1min_ps_decaying,bridge_rss_kb,free_pct,swapout_delta,established_conns,pressure_hold
1787425956.894106,10.88,30.86,28.65,82.7,95.2,703056,41.6,NA,0,0
1787425969.142001,10.60,30.14,28.42,81.7,98.1,703840,41.5,NA,2,0
1787425981.577843,9.87,29.02,28.05,81.4,88.9,705168,40.1,NA,1,0
1787425993.819562,10.20,28.46,27.86,82.1,76.5,707264,41.7,NA,0,0
1787426006.065151,9.89,27.51,27.53,72.0,99.4,707264,40.0,NA,0,0
