secs|issue_id|status
5516.0|FLY-2105|completed
5859.0|FLY-1500|blocked
6528.0|FLY-2166|completed
8136.0|FLY-1505|failed
8597.0|FLY-2169|completed
14114.0|FLY-2177|completed
15765.0|FLY-2168|failed
20642.0|FLY-2152|timeout
21617.0|FLY-1441|failed
26609.0|FLY-2180|completed
151162.0|FLY-1520|failed
151164.0|FLY-1501|failed
