resets_at_utc,host_tokens_until_max,min_pct,max_pct,delta_pct,pct_per_100M_tokens
2026-09-18T18:45Z,64162596,29.0,35.0,6.0,9.351
2026-09-19T17:17Z,1017937726,0.0,100.0,100.0,9.824
2026-09-21T07:28Z,1034336093,0.0,100.0,100.0,9.668
2026-09-21T22:31Z,1048312442,0.0,100.0,100.0,9.539
2026-09-22T04:12Z,24614,0.0,0.0,0.0,
2026-09-22T04:13Z,1078276966,0.0,100.0,100.0,9.274
2026-09-22T15:16Z,1128707872,0.0,100.0,100.0,8.86
2026-09-22T23:50Z,1872290872,0.0,100.0,100.0,5.341
2026-09-23T20:59Z,2787745835,0.0,100.0,100.0,3.587
2026-09-25T03:05Z,34160,0.0,0.0,0.0,
2026-09-25T03:06Z,3540646818,0.0,100.0,100.0,2.824
2026-09-25T22:06Z,748687225,0.0,100.0,100.0,13.357
2026-09-26T04:04Z,876021469,0.0,100.0,100.0,11.415
2026-09-27T21:25Z,573773134,0.0,100.0,100.0,17.428
2026-09-29T23:51Z,2019461552,0.0,100.0,100.0,4.952
2026-09-30T01:22Z,243149,0.0,0.0,0.0,
2026-09-30T01:23Z,488230,0.0,0.0,0.0,
2026-09-30T01:26Z,67704,0.0,0.0,0.0,
2026-09-30T01:27Z,227363,0.0,0.0,0.0,
2026-09-30T01:28Z,213348,0.0,0.0,0.0,
2026-09-30T01:29Z,70565,0.0,0.0,0.0,
2026-09-30T01:31Z,73565,0.0,0.0,0.0,
2026-09-30T01:32Z,74822,0.0,0.0,0.0,
2026-09-30T01:33Z,151675,0.0,0.0,0.0,
2026-09-30T01:34Z,237632,0.0,0.0,0.0,
2026-09-30T01:35Z,246978,0.0,0.0,0.0,
2026-09-30T01:36Z,523367,0.0,0.0,0.0,
2026-09-30T01:37Z,187104,0.0,0.0,0.0,
2026-09-30T01:38Z,96219,0.0,0.0,0.0,
2026-09-30T01:39Z,492473,0.0,0.0,0.0,
2026-09-30T01:40Z,417061,0.0,0.0,0.0,
2026-09-30T01:41Z,450418,0.0,0.0,0.0,
2026-09-30T01:42Z,247598,0.0,0.0,0.0,
2026-09-30T01:43Z,768332,0.0,0.0,0.0,
2026-09-30T01:44Z,406409,0.0,0.0,0.0,
2026-09-30T01:45Z,298595,0.0,0.0,0.0,
2026-09-30T01:46Z,153173,0.0,0.0,0.0,
2026-09-30T01:47Z,850914,0.0,0.0,0.0,
2026-09-30T01:48Z,698365,0.0,0.0,0.0,
2026-09-30T01:49Z,1130828,0.0,0.0,0.0,
2026-09-30T01:50Z,774038,0.0,0.0,0.0,
