execution_id,vendor,usage_rows,normalized_delta
8ae14ad9-f743-4ec1-a49c-0961c95fbd1c,claude,481,89261377
8b357d57-f19c-419d-90a8-85d6a3f72c54,claude,147,13186064
8e48d32e-344a-48d0-8683-76ea77318d23,codex,91,16520993
92f80de7-baa5-472c-ac50-7439fac30875,claude,337,45212575
9383060a-f410-404d-b725-f7919d50e9ff,codex,234,26748233
9565cabe-062b-43a9-bff4-0ca42b9e7eb6,codex,778,107596674
9c5bc88c-d76f-46a9-b6eb-98efc217b31b,codex,1174,139190665
9cf1770e-34dd-405c-aa22-a652711e40fe,codex,298,40206613
9dba39ad-d839-47a5-b6de-731620a3488c,claude,477,77931052
9f016fc5-3781-4208-a4c0-7f680393aab0,codex,161,22101831
a29f0f6e-99e7-4754-a559-3f58c25c84ed,claude,128,9804700
a43a6880-5207-41c9-a3c5-7523fb24d0f7,codex,353,50809734
a46bfcb3-7e0c-465e-a473-ec50909149a5,claude,513,73780491
a9df2a66-b0d9-4047-8c62-22c167721888,codex,215,33770945
ab10f3f7-18d1-4a33-ab47-75be53369eb3,codex,13,673145
ad657cf3-e105-4196-83df-958dbcecf513,claude,424,53487943
aef24ecc-59d4-4292-936e-71a6cf5c21f9,claude,278,40384781
b0907ee9-3f48-4ced-b9c8-18920c080dbe,claude,155,12166200
b224d252-30d2-4d13-b597-9663ea25de43,codex,380,48810603
b7523aea-4176-405a-ba63-a5a6595c5811,claude,314,38364277
b7c5d1a9-b84d-443b-b6e2-1678c3679741,codex,37,3166143
b977f664-01a7-46b8-8ad9-0951adf06d6c,codex,202,26614287
bbf14aea-c6f5-459a-abf2-e3435dc3299b,claude,262,27117957
be23e304-c55e-4e0a-abed-202a9660a87b,claude,217,28230536
c06a2bac-9d37-418c-9466-c3366838eeba,claude,604,95701381
c093f58f-e93a-4a5b-bbb5-efc3519f5864,claude,195,14498368
c1db8d2e-5c21-456c-8d35-1ae5bd884d8f,codex,612,84699176
c2533b6a-c3be-4fa6-87f8-a2fc2e484637,claude,22,1065462
c2bd0548-2e74-4238-8042-8092c64b64f9,claude,22,1171600
c3ec4a52-f4b7-4f4b-a01f-0a6599652af3,codex,440,55137370
c40e2bd1-7e20-460a-bea3-7ac79a2a3efd,claude,232,26881691
c675e1b0-6abf-47cb-9120-6c504a110a93,claude,208,23420295
c6f33a10-3f4c-4c22-b853-3991494add01,claude,350,47335237
cc4d05b4-54f9-4f04-aee4-4e8ab9045fd6,codex,90,10504817
cd2dfd5e-d769-4759-87bf-1046b98815b9,claude,280,29393278
cde40019-9660-4888-83ce-837783e4e8fa,claude,466,78221671
ce4206e6-0be1-45cd-98d8-3fb9c1804737,codex,247,36109451
d05037ae-c0c8-430f-82c3-3d0c4e0e396f,claude,214,17232611
d252ae76-50d4-467c-93bb-04dfcf0bca62,claude,146,12879089
d3e3e04f-8f2e-4ffd-b9fa-88cd8b89e0f9,claude,342,46150628
d519329c-81e7-4251-8a38-ebeb2e2a6cef,claude,575,92941736
d524fd8f-b210-43a0-a735-ea543afc90ed,claude,376,60387949
d6aadc9a-d214-4218-a2a4-3f5f0a74c1a1,codex,278,38939669
dc3111e5-6673-4a2c-86b9-0c89e5a2c841,claude,308,39298826
dce17f32-451c-4265-b3d0-801e624fc792,codex,342,43120373
e5017f34-787e-424b-ae5d-65f25fec88e8,claude,351,52528353
ec0fcf8a-4ef5-4290-9646-e90d724ed544,claude,624,103785011
ecfa5547-9e1a-4735-a250-2c1ec316b048,claude,459,70189410
ed46aa1b-bce9-4f38-a160-b12c119d1f5e,claude,244,19845871
f104fc28-c47a-4b76-8168-f7b02bfa7ebe,codex,65,9583885
f371e87f-260f-4f3f-9473-dfd974e26517,claude,391,47864112
f47244ad-a700-4807-b836-4287cfb2c4bd,claude,99,8306355
f560992f-5c61-4062-b6e4-392c0c5743dd,claude,32,1692082
f68b3e69-19a2-4a59-b183-5b2003680a4a,codex,7,434067
f904eb30-07f0-423a-9569-0e41abc6e1f7,claude,514,88236239
fb1b9fdc-9c93-4686-a039-227abf36b52a,claude,224,25907378
fbe9495f-8725-4a21-b95b-b7ef50124bb8,claude,176,12105759
ff4cd646-a214-4c5f-98cb-6020426b5d70,claude,244,25335580
