block_id,endpoint,tick,scheduled,start,end,outcome,secs
b1,L1,0,313754.545203,313754.624518,313755.264781,missed,0.568959
b1,L2,0,313754.544833,313754.624355,313755.967270,met,1.282976
b1,L1,1,313756.545203,313756.757980,313756.810915,met,0.001087
b1,L2,1,313757.544833,313757.762153,313758.480490,met,0.659043
b1,L1,2,313758.545203,313758.777548,313758.850753,met,0.003237
b1,L1,3,313760.545203,313760.692509,313760.819631,met,0.059775
b1,L2,2,313760.544833,313760.763090,313760.840428,met,0.006496
b1,L1,4,313762.545203,313762.758703,313762.960683,met,0.158307
b1,L2,3,313763.544833,313763.747912,313763.796427,met,0.001441
b1,L1,5,313764.545203,313764.740809,313765.431967,missed,0.633346
b1,L1,6,313766.545203,313766.739375,313767.358805,missed,0.554998
b1,L2,4,313766.544833,313766.739431,313767.724479,met,0.933806
b1,L1,7,313768.545203,313768.651427,313769.381236,missed,0.650171
b1,L2,5,313769.544833,313769.790331,313770.819812,met,0.952108
b1,L1,8,313770.545203,313770.681238,313770.955198,met,0.209259
b1,L1,9,313772.545203,313772.758927,313773.469059,missed,0.645627
b1,L1,10,313774.545203,313774.772286,313774.835302,met,0.001779
b1,L2,6,313772.544833,313772.767865,313774.857122,missed,2.005883
b1,L2,7,313775.544833,313775.676830,313776.789927,met,1.025865
b1,L1,11,313776.545203,313776.661496,313776.797893,met,0.051826
b1,L2,8,313778.544833,313778.791023,313778.922352,met,0.084363
b1,L1,12,313778.545203,313778.658068,313778.922424,met,0.216302
b1,L1,13,313780.545203,313780.725725,313781.346039,missed,0.565636
b1,L2,9,313781.544833,313781.726576,313781.774384,met,0.000957
b1,L1,14,313782.545203,313782.736987,313783.353024,missed,0.558093
b1,L1,15,313784.545203,313784.768616,313785.469536,missed,0.641053
b1,L2,10,313784.544833,313784.695319,313785.581116,met,0.794121
b1,L1,16,313786.545203,313786.731564,313787.401569,missed,0.612028
b1,L2,11,313787.544833,313787.694818,313787.775336,met,0.027267
b1,L1,17,313788.545203,313788.746924,313789.451645,missed,0.645831
